# Ground truth for a plain work item ordering, generated by apps/api-go/tools/generate_plain_issue_order_fixture.py. Do not edit by hand.
# Each row is the order_by, the clause, and how many joins the ordering itself added.
archived_at	archived_at ASC	0
-archived_at	archived_at DESC	0
assignees__first_name	user.first_name ASC	2
-assignees__first_name	user.first_name DESC	2
completed_at	completed_at ASC	0
-completed_at	completed_at DESC	0
created_at	created_at ASC	0
-created_at	created_at DESC	0
issue_module__module__name	module.name ASC	2
-issue_module__module__name	module.name DESC	2
labels__name	label.name ASC	2
-labels__name	label.name DESC	2
priority	priority ASC	0
-priority	priority DESC	0
sequence_id	sequence_id ASC	0
-sequence_id	sequence_id DESC	0
sort_order	sort_order ASC	0
-sort_order	sort_order DESC	0
start_date	start_date ASC	0
-start_date	start_date DESC	0
state__group	state.group ASC	0
-state__group	state.group DESC	0
state__name	state.name ASC	0
-state__name	state.name DESC	0
target_date	target_date ASC	0
-target_date	target_date DESC	0
updated_at	updated_at ASC	0
-updated_at	updated_at DESC	0
	created_at ASC	0
--created_at	created_at ASC	0
project__name	created_at ASC	0
